ActivityIdentifier,CollectionDate,Latitude_dd,Longitude_dd,SiteNumber,chem_Azinphos-methyl,chem_Carbaryl,chem_Chlorpyrifos,chem_Diazinon,chem_Dieldrin,chem_Malathion,chem_Methyl parathion,chem_Thiobencarb,chem_Trifluralin,chem_gamma-HCH (Lindane)
nwisga.01.00203412,2002-06-26,32.03388889,-83.99638889,USGS-02350080,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00203527,2002-07-09,33.95388889,-84.4433333,USGS-02335870,0.025,0.0284,0.0025,0.004,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00203589,2002-07-23,33.95388889,-84.4433333,USGS-02335870,0.025,0.01,0.0025,0.0049,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00203590,2002-07-23,32.03388889,-83.99638889,USGS-02350080,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.01,0.002
nwisga.01.00203734,2002-07-11,32.03388889,-83.99638889,USGS-02350080,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00203743,2002-07-10,33.3407222,-85.2267222,USGS-02338523,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00300058,2002-10-09,33.95388889,-84.4433333,USGS-02335870,0.025,0.012,0.0025,0.022,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00300060,2002-10-10,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00300734,2002-11-08,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0052,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00300735,2002-12-04,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00300743,2002-12-18,33.95388889,-84.4433333,USGS-02335870,0.025,0.007,0.0025,0.0035,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00300880,2003-01-14,33.95388889,-84.4433333,USGS-02335870,0.04,0.008,0.0025,0.005,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00301012,2003-01-16,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00301326,2003-02-13,33.95388889,-84.4433333,USGS-02335870,0.025,0.0205,0.0025,0.0116,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00301327,2003-02-12,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00301955,2003-03-20,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00301956,2003-04-03,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00301957,2003-04-04,33.95388889,-84.4433333,USGS-02335870,0.025,0.0205,0.0025,0.0032,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00302796,2003-05-01,33.95388889,-84.4433333,USGS-02335870,0.025,0.031,0.0025,0.0175,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00302797,2003-05-01,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00302844,2003-04-17,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00302846,2003-04-15,33.95388889,-84.4433333,USGS-02335870,0.025,0.007,0.0025,0.0054,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00303321,2003-05-13,33.95388889,-84.4433333,USGS-02335870,0.025,0.023,0.0025,0.0107,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00303322,2003-05-28,33.95388889,-84.4433333,USGS-02335870,0.025,0.029,0.0039,0.0114,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00303327,2003-05-15,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00303328,2003-05-28,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0031,0.0025,0.0024,0.0135,0.003,0.0024,0.005,0.002
nwisga.01.00303651,2003-06-16,33.95388889,-84.4433333,USGS-02335870,0.025,0.026,0.0039,0.0102,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00303653,2003-06-18,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00303981,2003-07-14,33.95388889,-84.4433333,USGS-02335870,0.025,0.075,0.0025,0.0172,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00304048,2003-07-24,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00304138,2003-07-30,33.95388889,-84.4433333,USGS-02335870,0.025,0.004,0.0025,0.0102,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00304139,2003-07-30,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.001,0.002
nwisga.01.00304385,2003-08-11,33.95388889,-84.4433333,USGS-02335870,0.025,0.029,0.0036,0.0174,0.0024,0.051,0.003,0.0024,0.0045,0.002
nwisga.01.00305313,2003-09-09,33.95388889,-84.4433333,USGS-02335870,0.025,0.005,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00305315,2003-09-10,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00305447,2003-08-26,33.95388889,-84.4433333,USGS-02335870,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisga.01.00305448,2003-08-29,32.03388889,-83.99638889,USGS-02350080,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00100213,2001-06-05,39.6667121,-86.1963768,USGS-03353637,0.025,0.01,0.0025,0.103,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisin.01.00100233,2001-06-20,39.72782144,-85.8794246,USGS-394340085524601,0.025,0.015,0.0025,0.0015,0.0025,0.0135,0.003,0.0025,0.0045,0.002
nwisin.01.00300001,2002-10-08,39.6667121,-86.1963768,USGS-03353637,0.025,0.0205,0.0025,0.0348,0.0024,0.005,0.003,0.0024,0.0045,0.002
nwisin.01.00300002,2002-10-09,39.72782144,-85.8794246,USGS-394340085524601,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300006,2002-11-05,39.72782144,-85.8794246,USGS-394340085524601,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300007,2002-11-06,39.6667121,-86.1963768,USGS-03353637,0.025,0.005,0.0025,0.101,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300011,2002-11-25,39.72782144,-85.8794246,USGS-394340085524601,0.025,0.0205,0.0025,0.006,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300013,2002-11-27,39.6667121,-86.1963768,USGS-03353637,0.025,0.0205,0.0025,0.0246,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300014,2002-12-09,39.6667121,-86.1963768,USGS-03353637,0.025,0.0205,0.0025,0.012,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300016,2002-12-16,39.72782144,-85.8794246,USGS-394340085524601,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300022,2003-01-15,39.6667121,-86.1963768,USGS-03353637,0.025,0.0205,0.0025,0.0119,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300023,2003-01-16,39.72782144,-85.8794246,USGS-394340085524601,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300029,2003-02-13,39.6667121,-86.1963768,USGS-03353637,0.025,0.0205,0.0025,0.0088,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300030,2003-02-18,39.72782144,-85.8794246,USGS-394340085524601,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300035,2003-03-11,39.72782144,-85.8794246,USGS-394340085524601,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300037,2003-03-17,39.6667121,-86.1963768,USGS-03353637,0.025,0.0205,0.0025,0.0068,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300040,2003-04-01,39.72782144,-85.8794246,USGS-394340085524601,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300043,2003-04-09,39.6667121,-86.1963768,USGS-03353637,0.025,0.011,0.0025,0.0134,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300045,2003-04-15,39.72782144,-85.8794246,USGS-394340085524601,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300048,2003-04-22,39.6667121,-86.1963768,USGS-03353637,0.025,0.011,0.0025,0.012,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300050,2003-05-05,39.6667121,-86.1963768,USGS-03353637,0.025,0.298,0.0025,0.145,0.0024,0.011,0.003,0.0024,0.0045,0.002
nwisin.01.00300056,2003-05-20,39.6667121,-86.1963768,USGS-03353637,0.025,0.009,0.0025,0.0183,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300057,2003-05-21,39.72782144,-85.8794246,USGS-394340085524601,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300059,2003-06-02,39.6667121,-86.1963768,USGS-03353637,0.025,0.015,0.0025,0.0369,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300061,2003-06-04,39.72782144,-85.8794246,USGS-394340085524601,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300101,2003-06-24,39.72782144,-85.8794246,USGS-394340085524601,0.025,0.0205,0.0025,0.0025,0.0024,0.002,0.003,0.0024,0.0045,0.002
nwisin.01.00300102,2003-06-25,39.6667121,-86.1963768,USGS-03353637,0.025,0.0205,0.0025,0.0109,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300203,2003-07-22,39.72782144,-85.8794246,USGS-394340085524601,0.025,0.081,0.005,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300207,2003-08-04,39.72782144,-85.8794246,USGS-394340085524601,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300208,2003-08-05,39.6667121,-86.1963768,USGS-03353637,0.025,0.017,0.0025,0.029,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300212,2003-08-19,39.72782144,-85.8794246,USGS-394340085524601,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300215,2003-09-02,39.6667121,-86.1963768,USGS-03353637,0.025,0.052,0.0025,0.0488,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00300216,2003-09-03,39.72782144,-85.8794246,USGS-394340085524601,0.025,0.019,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisin.01.00500075,2004-11-17,39.72782144,-85.8794246,USGS-394340085524601,0.025,0.0205,0.0025,0.0025,0.0045,0.0135,0.0075,0.005,0.0045,0.002
nwisin.01.00500149,2005-01-11,39.72782144,-85.8794246,USGS-394340085524601,0.025,0.0205,0.0025,0.0025,0.0045,0.0135,0.0075,0.005,0.0045,0.002
nwisin.01.00500266,2005-05-17,39.72782144,-85.8794246,USGS-394340085524601,0.025,0.0205,0.0025,0.0025,0.0045,0.0135,0.0075,0.005,0.0045,0.002
nwisma.01.00300011,2002-10-21,41.13537426,-73.426231,USGS-01209710,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisma.01.00300051,2002-11-14,41.13537426,-73.426231,USGS-01209710,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisma.01.00300095,2002-12-23,41.13537426,-73.426231,USGS-01209710,0.025,0.005,0.0025,0.003,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisma.01.00300124,2003-01-16,41.13537426,-73.426231,USGS-01209710,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisma.01.00300155,2003-02-11,41.13537426,-73.426231,USGS-01209710,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisma.01.00300221,2003-03-25,41.13537426,-73.426231,USGS-01209710,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisma.01.00300222,2003-03-31,41.13537426,-73.426231,USGS-01209710,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisma.01.00300384,2003-04-10,41.13537426,-73.426231,USGS-01209710,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisma.01.00300391,2003-04-21,41.13537426,-73.426231,USGS-01209710,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisma.01.00300491,2003-05-06,41.13537426,-73.426231,USGS-01209710,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisma.01.00300585,2003-05-21,41.13537426,-73.426231,USGS-01209710,0.025,0.178,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisma.01.00300619,2003-06-03,41.13537426,-73.426231,USGS-01209710,0.025,0.009,0.0025,0.0025,0.0024,0.0135,0.04,0.0024,0.0045,0.002
nwisma.01.00300759,2003-06-24,41.13537426,-73.426231,USGS-01209710,0.025,0.007,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisma.01.00300993,2003-07-08,41.13537426,-73.426231,USGS-01209710,0.025,0.005,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisma.01.00301014,2003-07-30,41.13537426,-73.426231,USGS-01209710,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisma.01.00301118,2003-08-06,41.13537426,-73.426231,USGS-01209710,0.025,0.024,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisma.01.00301484,2003-08-14,41.13537426,-73.426231,USGS-01209710,0.025,0.0205,0.0025,0.0024,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisma.01.00301485,2003-09-03,41.13537426,-73.426231,USGS-01209710,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwismd.01.00300048,2002-10-23,39.28002778,-76.0145556,USGS-01493500,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwismd.01.00300095,2002-11-14,39.28002778,-76.0145556,USGS-01493500,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwismd.01.00300182,2002-12-13,39.28002778,-76.0145556,USGS-01493500,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwismd.01.00300233,2003-01-07,39.28002778,-76.0145556,USGS-01493500,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwismd.01.00300299,2003-02-05,39.28002778,-76.0145556,USGS-01493500,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwismd.01.00300362,2003-03-18,39.28002778,-76.0145556,USGS-01493500,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwismd.01.00300448,2003-04-07,39.28002778,-76.0145556,USGS-01493500,0.025,0.0142,0.0025,0.0103,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwismd.01.00300466,2003-04-21,39.28002778,-76.0145556,USGS-01493500,0.025,0.0142,0.0025,0.0041,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwismd.01.00300494,2003-05-15,39.28002778,-76.0145556,USGS-01493500,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwismd.01.00300561,2003-06-04,39.28002778,-76.0145556,USGS-01493500,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwismd.01.00300641,2003-07-17,39.28002778,-76.0145556,USGS-01493500,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwismd.01.00300714,2003-07-31,39.28002778,-76.0145556,USGS-01493500,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwismd.01.00300805,2003-09-05,39.28002778,-76.0145556,USGS-01493500,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwismd.01.00300870,2003-09-30,39.28002778,-76.0145556,USGS-01493500,0.025,0.0142,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisnc.01.00300035,2002-10-17,35.71888889,-78.7522222,USGS-02087580,0.025,0.11,0.0025,0.0809,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisnc.01.00300074,2002-11-08,35.71888889,-78.7522222,USGS-02087580,0.025,0.02,0.0025,0.0547,0.0024,0.0135,0.003,0.0024,0.004,0.002
nwisnc.01.00300102,2002-11-26,35.71888889,-78.7522222,USGS-02087580,0.025,0.01,0.0025,0.0232,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisnc.01.00300114,2002-12-12,35.71888889,-78.7522222,USGS-02087580,0.025,0.01,0.0025,0.0742,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisnc.01.00300136,2002-12-30,35.71888889,-78.7522222,USGS-02087580,0.025,0.0284,0.0069,0.0684,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisnc.01.00300175,2003-01-29,35.71888889,-78.7522222,USGS-02087580,0.025,0.01,0.0079,0.0454,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisnc.01.00300199,2003-02-11,35.71888889,-78.7522222,USGS-02087580,0.025,0.0142,0.0025,0.0437,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisnc.01.00300265,2003-03-05,35.71888889,-78.7522222,USGS-02087580,0.025,0.0284,0.0052,0.072,0.0024,0.0135,0.003,0.0024,0.064,0.002
nwisnc.01.00300321,2003-03-21,35.71888889,-78.7522222,USGS-02087580,0.025,0.01,0.0025,0.0753,0.0024,0.0135,0.003,0.0024,0.008,0.002
nwisnc.01.00300350,2003-04-07,35.71888889,-78.7522222,USGS-02087580,0.025,0.0142,0.0025,0.0325,0.0024,0.0135,0.003,0.0024,0.005,0.002
nwisnc.01.00300404,2003-04-18,35.71888889,-78.7522222,USGS-02087580,0.025,0.0284,0.0025,0.0218,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisnc.01.00300468,2003-05-08,35.71888889,-78.7522222,USGS-02087580,0.025,0.01,0.0025,0.0221,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisnc.01.00300534,2003-06-04,35.71888889,-78.7522222,USGS-02087580,0.025,0.02,0.0025,0.0164,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisnc.01.00300726,2003-07-14,35.71888889,-78.7522222,USGS-02087580,0.025,0.04,0.0025,0.005,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisnc.01.00300888,2003-08-25,35.71888889,-78.7522222,USGS-02087580,0.025,0.0142,0.0025,0.0041,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisnc.01.00300908,2003-09-05,35.71888889,-78.7522222,USGS-02087580,0.025,0.01,0.0025,0.0106,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisne.01.00300007,2002-10-08,41.56116667,-96.5408333,USGS-06800000,0.025,0.0205,0.0025,0.0065,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisne.01.00300066,2002-11-13,41.56116667,-96.5408333,USGS-06800000,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.005,0.002
nwisne.01.00300071,2002-12-10,41.56116667,-96.5408333,USGS-06800000,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisne.01.00300127,2003-01-14,41.56116667,-96.5408333,USGS-06800000,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisne.01.00300137,2003-02-11,41.56116667,-96.5408333,USGS-06800000,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisne.01.00300158,2003-03-11,41.56116667,-96.5408333,USGS-06800000,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.053,0.002
nwisne.01.00300207,2003-04-16,41.56116667,-96.5408333,USGS-06800000,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.014,0.002
nwisne.01.00300233,2003-04-30,41.56116667,-96.5408333,USGS-06800000,0.025,0.0205,0.005,0.0062,0.0024,0.01,0.003,0.0024,0.079,0.0051
nwisne.01.00300243,2003-05-13,41.56116667,-96.5408333,USGS-06800000,0.025,0.0205,0.0073,0.0025,0.0024,0.0135,0.003,0.0024,0.005,0.002
nwisne.01.00300281,2003-06-10,41.56116667,-96.5408333,USGS-06800000,0.025,0.0205,0.0237,0.0025,0.0024,0.0135,0.003,0.0024,0.011,0.002
nwisne.01.00300418,2003-07-09,41.56116667,-96.5408333,USGS-06800000,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisoh.01.00300001,2002-10-04,39.6622814,-84.2018837,USGS-393944084120700,0.025,0.009,0.0025,0.0408,0.0024,0.016,0.003,0.0024,0.0045,0.002
nwisoh.01.00300016,2002-11-06,39.6622814,-84.2018837,USGS-393944084120700,0.025,0.124,0.0025,0.0526,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisoh.01.00300019,2002-12-05,39.6622814,-84.2018837,USGS-393944084120700,0.025,0.004,0.0025,0.017,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisoh.01.00300028,2002-12-18,39.6622814,-84.2018837,USGS-393944084120700,0.025,0.007,0.0025,0.0226,0.0024,0.0135,0.003,0.0024,0.009,0.002
nwisoh.01.00300042,2003-01-23,39.6622814,-84.2018837,USGS-393944084120700,0.025,0.0205,0.0025,0.0067,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisoh.01.00300048,2003-02-13,39.6622814,-84.2018837,USGS-393944084120700,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisoh.01.00300057,2003-03-11,39.6622814,-84.2018837,USGS-393944084120700,0.025,0.0205,0.0025,0.0025,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisoh.01.00300065,2003-04-09,39.6622814,-84.2018837,USGS-393944084120700,0.025,0.008,0.0025,0.0198,0.0024,0.0135,0.003,0.0024,0.004,0.002
nwisoh.01.00300066,2003-04-23,39.6622814,-84.2018837,USGS-393944084120700,0.025,0.007,0.0025,0.0105,0.0024,0.0135,0.003,0.0024,0.002,0.002
nwisoh.01.00300074,2003-05-14,39.6622814,-84.2018837,USGS-393944084120700,0.025,0.007,0.0025,0.0266,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisoh.01.00300077,2003-05-28,39.6622814,-84.2018837,USGS-393944084120700,0.025,0.024,0.0025,0.0146,0.0024,0.0135,0.003,0.0024,0.0045,0.002
nwisoh.01.00300085,2003-06-11,39.6622814,-84.2018837,USGS-393944084120700,0.025,0.044,0.0025,0.0658,0.0024,0.0135,0.003,0.0024,0.0045,0.002
